module_accession,completeness,pathway_name,pathway_class,matching_ko,missing_ko,sample
M00003,100.0,"Gluconeogenesis, oxaloacetate => fructose-6P",Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism,"K00150,K00927,K01596,K01622,K01689,K01803,K01834",,Palaeococcus
M00005,100.0,"PRPP biosynthesis, ribose 5P => PRPP",Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism,K00948,,Palaeococcus
M00048,100.0,"De novo purine biosynthesis, PRPP + glutamine => IMP",Pathway modules; Nucleotide metabolism; Purine metabolism,"K00764,K01756,K01923,K01933,K01945,K06863,K08289,K11176,K23264,K23265,K23269",,Palaeococcus
M00049,100.0,"Adenine ribonucleotide biosynthesis, IMP => ADP,ATP",Pathway modules; Nucleotide metabolism; Purine metabolism,"K00939,K00940,K01756,K01939",,Palaeococcus
M00052,100.0,"Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP",Pathway modules; Nucleotide metabolism; Pyrimidine metabolism,"K00940,K01937,K09903",,Palaeococcus
M00091,100.0,"Phosphatidylcholine (PC) biosynthesis, PE => PC",Pathway modules; Lipid metabolism; Lipid metabolism,K00570,,Palaeococcus
M00133,100.0,"Polyamine biosynthesis, arginine => agmatine => putrescine => spermidine",Pathway modules; Amino acid metabolism; Polyamine biosynthesis,"K00797,K01480,K01611,K02626",,Palaeococcus
M00159,100.0,"V/A-type ATPase, prokaryotes",Pathway modules; Energy metabolism; ATP synthesis,"K02107,K02117,K02118,K02119,K02120,K02121,K02122,K02123,K02124",,Palaeococcus
M00307,100.0,"Pyruvate oxidation, pyruvate => acetyl-CoA",Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism,"K00169,K00170,K00171,K00172",,Palaeococcus
M00338,100.0,"Cysteine biosynthesis, homocysteine + serine => cysteine",Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism,"K01697,K01758",,Palaeococcus
M00580,100.0,"Pentose phosphate pathway, archaea, fructose 6P => ribose 5P",Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism,"K01807,K08093,K08094",,Palaeococcus
M00793,100.0,dTDP-L-rhamnose biosynthesis,Pathway modules; Biosynthesis of terpenoids and polyketides; Polyketide sugar unit biosynthesis,"K00067,K00973,K01710,K01790",,Palaeococcus
M00844,100.0,"Arginine biosynthesis, ornithine => arginine",Pathway modules; Amino acid metabolism; Arginine and proline metabolism,"K00611,K01755,K01940",,Palaeococcus
M00854,100.0,"Glycogen biosynthesis, glucose-1P => glycogen/starch",Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism,"K00963,K20812",,Palaeococcus
M00880,100.0,"Molybdenum cofactor biosynthesis, GTP => molybdenum cofactor",Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism,"K03635,K03637,K03638,K03639,K03750",,Palaeococcus
M00896,100.0,"Thiamine biosynthesis, archaea, AIR (+ NAD+) => TMP/TPP",Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism,"K00788,K00941,K00946,K03147,K22699",,Palaeococcus
M00899,100.0,"Thiamine salvage pathway, HMP/HET => TMP",Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism,"K00788,K00878,K00941",,Palaeococcus
M00916,100.0,"Pyridoxal-P biosynthesis, R5P + glyceraldehyde-3P + glutamine => pyridoxal-P",Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism,"K06215,K08681",,Palaeococcus
M00968,100.0,"Pentose bisphosphate pathway (nucleoside degradation), archaea, nucleoside/NMP => 3-PGA/glycerone phosphate",Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism,"K01601,K18237,K18931",,Palaeococcus
M00986,100.0,"Sulfur reduction, sulfur => sulfide",Pathway modules; Energy metabolism; Sulfur metabolism,K18367,,Palaeococcus
M00914,85.71,"Coenzyme A biosynthesis, archaea, 2-oxoisovalerate => 4-phosphopantoate => CoA",Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism,"K00077,K00606,K06982,K09722,K09735,K13038",K02201,Palaeococcus
M00741,83.33,"Propanoyl-CoA metabolism, propanoyl-CoA => succinyl-CoA",Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism,"K01847,K01966,K05606",K01965,Palaeococcus
